City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
37,Torbay,47.6666,-52.7314,37.99,100,90,17.27,CA,light rain,2021-04-18 18:42:28
38,Puerto Ayora,-0.7393,-90.3518,82.4,74,75,9.22,EC,light rain,2021-04-18 18:40:57
39,Paracuru,-3.41,-39.0306,81.0,77,77,21.99,BR,broken clouds,2021-04-18 18:42:29
40,Olafsvik,64.8945,-23.7142,36.36,63,100,29.08,IS,overcast clouds,2021-04-18 18:42:29
41,Hualmay,-11.0964,-77.6139,72.61,74,99,8.5,PE,overcast clouds,2021-04-18 18:42:29
42,Dikson,73.5069,80.5464,-8.23,100,100,2.24,RU,overcast clouds,2021-04-18 18:42:30
43,Jamestown,42.097,-79.2353,57.0,50,90,4.61,US,overcast clouds,2021-04-18 18:38:40
44,Tyrma,50.0833,132.1667,28.71,95,53,1.25,RU,broken clouds,2021-04-18 18:42:30
45,Richards Bay,-28.783,32.0377,69.39,68,0,13.91,ZA,clear sky,2021-04-18 18:42:31
46,Palmer,42.1584,-72.3287,60.01,36,75,11.5,US,broken clouds,2021-04-18 18:42:31
47,Lavrentiya,65.5833,-171.0,21.36,94,100,2.91,RU,overcast clouds,2021-04-18 18:42:31
48,Sao Filipe,14.8961,-24.4956,72.79,76,1,12.71,CV,clear sky,2021-04-18 18:42:32
49,Sao Joao Da Barra,-21.6403,-41.0511,86.0,51,40,3.44,BR,scattered clouds,2021-04-18 18:42:32
50,Mar Del Plata,-38.0023,-57.5575,78.01,68,75,9.22,AR,broken clouds,2021-04-18 18:38:24
51,Seoul,37.5683,126.9778,42.8,87,0,4.61,KR,clear sky,2021-04-18 18:39:59
52,Normandin,48.8333,-72.5321,51.8,50,100,2.3,CA,overcast clouds,2021-04-18 18:42:33
53,Busselton,-33.65,115.3333,51.01,88,94,7.05,AU,overcast clouds,2021-04-18 18:42:33
54,Marzuq,14.4,46.4667,70.72,55,72,5.79,YE,broken clouds,2021-04-18 18:42:33
55,Punta Arenas,-53.15,-70.9167,48.2,81,0,5.75,CL,clear sky,2021-04-18 18:42:34
56,Wanaka,-44.7,169.15,47.08,88,100,5.95,NZ,light rain,2021-04-18 18:38:00
57,Norman Wells,65.282,-126.8329,39.2,56,1,2.3,CA,clear sky,2021-04-18 18:42:17
58,Pevek,69.7008,170.3133,18.55,84,100,19.19,RU,overcast clouds,2021-04-18 18:42:34
59,East London,-33.0153,27.9116,69.8,60,0,5.75,ZA,clear sky,2021-04-18 18:38:15
60,Faanui,-16.4833,-151.75,82.38,70,8,14.09,PF,clear sky,2021-04-18 18:42:34
61,Chuy,-33.6971,-53.4616,71.65,63,0,9.64,UY,clear sky,2021-04-18 18:42:35
62,Beni,0.5,29.4667,69.13,75,99,3.2,CD,overcast clouds,2021-04-18 18:42:35
63,Arraial Do Cabo,-22.9661,-42.0278,78.8,78,0,10.36,BR,clear sky,2021-04-18 18:42:35
64,Saint George,37.1041,-113.5841,68.0,16,1,4.61,US,clear sky,2021-04-18 18:40:32
65,Bang Saphan,11.2126,99.5117,75.81,92,100,4.05,TH,overcast clouds,2021-04-18 18:42:36
66,Dukat,62.55,155.55,12.97,87,21,1.59,RU,few clouds,2021-04-18 18:42:36
